省份,科类,专业,最低分,最高分,平均分,录取人数,省控线,超省控线
湖北,物理类,计算机科学与技术,575,590,582,115,520,55
湖北,物理类,软件工程,570,585,577,95,520,50
湖北,物理类,电气工程及其自动化,565,580,572,145,520,45
湖北,物理类,机械工程,560,575,567,175,520,40
湖北,物理类,材料科学与工程,555,570,562,115,520,35
湖北,物理类,土木工程,550,565,557,155,520,30
湖北,历史类,法学,570,580,575,75,526,44
湖北,历史类,汉语言文学,565,575,570,55,526,39
湖北,历史类,英语,563,573,568,45,526,37
河南,理科,计算机科学与技术,580,595,587,48,509,71
河南,理科,电气工程及其自动化,575,590,582,58,509,66
河南,文科,法学,575,585,580,28,547,28
山东,综合,计算机科学与技术,585,600,592,38,443,142
山东,综合,电气工程及其自动化,580,595,587,43,443,137
江苏,物理类,计算机科学与技术,590,605,597,33,448,142
江苏,物理类,电气工程及其自动化,585,600,592,38,448,137
江苏,历史类,法学,580,590,585,18,474,106
浙江,综合,计算机科学与技术,595,610,602,28,488,107
浙江,综合,电气工程及其自动化,590,605,597,33,488,102
安徽,理科,计算机科学与技术,570,585,577,43,482,88
安徽,理科,电气工程及其自动化,565,580,572,48,482,83
安徽,文科,法学,565,575,570,23,495,70
福建,物理类,计算机科学与技术,575,590,582,28,431,144
福建,物理类,电气工程及其自动化,570,585,577,33,431,139
福建,历史类,法学,570,580,575,13,453,117
广东,物理类,计算机科学与技术,580,595,587,38,439,141
广东,物理类,电气工程及其自动化,575,590,582,43,439,136
广东,历史类,法学,575,585,580,18,433,142
四川,理科,计算机科学与技术,575,590,582,33,520,55
四川,理科,电气工程及其自动化,570,585,577,38,520,50
四川,文科,法学,570,580,575,18,527,43
