省份,科类,专业组/批次,最低分,最高分,平均分,录取人数,省控线,超省控线
湖北,物理类,C10204专业组,593,610,601,80,525,68
湖北,物理类,C10205专业组,581,595,588,120,525,56
湖北,物理类,C10206专业组,577,590,583,100,525,52
湖北,物理类,C10208专业组,575,588,581,90,525,50
湖北,物理类,C10203专业组,570,585,577,110,525,45
湖北,物理类,C10207专业组,570,583,576,95,525,45
湖北,物理类,C10211专业组(护理类),568,575,571,40,525,43
湖北,物理类,C10209专业组,567,580,573,85,525,42
湖北,历史类,C10202专业组,568,580,574,60,527,41
湖北,历史类,C10201专业组,565,578,571,70,527,38
云南,理科,本科一批,539,555,547,45,485,54
云南,文科,本科一批,563,575,569,25,550,13
四川,理科,本科一批,572,590,581,50,520,52
四川,文科,本科一批,546,560,553,30,527,19
宁夏,理科,本科一批,512,530,521,20,397,115
宁夏,文科,本科一批,515,525,520,15,496,19
山西,理科,本科一批B类,515,535,525,40,480,35
陕西,理科,本科一批,560,580,570,45,449,111
陕西,文科,本科一批,520,535,527,25,488,32
北京,综合,本科批,568,585,576,30,434,134
天津,综合,本科A段,587,605,596,35,472,115
安徽,物理类,002专业组,596,615,605,40,482,114
安徽,物理类,001专业组,571,590,580,60,482,89
安徽,历史类,001专业组,568,580,574,30,495,73
广东,物理类,205专业组,560,580,570,50,539,21
广东,物理类,203专业组,550,570,560,60,539,11
广东,物理类,204专业组,543,560,551,40,539,4
广东,历史类,201专业组,532,545,538,25,540,-8
广东,历史类,202专业组,531,543,537,20,540,-9
广西,物理类,151专业组,549,570,559,35,475,74
广西,历史类,111专业组,553,565,559,20,519,34
江苏,物理类,01专业组,585,605,595,45,448,137
江西,物理类,502第502组,579,595,587,30,518,61
江西,物理类,501第501组,545,565,555,40,518,27
江西,历史类,101第101组,569,580,574,25,533,36
湖南,物理类,106第106组,553,575,564,40,414,139
湖南,物理类,105第105组,548,570,559,45,414,134
湖南,历史类,103第103组,551,565,558,25,428,123
甘肃,物理类,003专业组,544,565,554,25,372,172
甘肃,物理类,002专业组,523,545,534,30,372,151
甘肃,历史类,001专业组,542,555,548,20,420,122
福建,物理类,500选考化学,597,615,606,30,431,166
福建,物理类,999不限选考科目,538,560,549,40,431,107
福建,历史类,999不限选考科目,539,555,547,25,453,86
黑龙江,物理类,001第001组,592,610,601,25,408,184
